feature,pearson_correlation,abs_pearson_correlation,missing_rate_before_fill
汽包水位3_243,-0.54227830159159,0.54227830159159,0.022253129346314324
屏式再热器横向第2片屏排_1管管壁温度327,0.5298396295120388,0.5298396295120388,0.030598052851182198
摆角综合前馈量281,0.5293754003709978,0.5293754003709978,0.054242002781641166
一次粉管B11煤粉浓度87,0.49075787128559173,0.49075787128559173,0.10987482614742698
一次粉管A24煤粉浓度_85,0.4763842177199125,0.4763842177199125,0.27816411682892905
汽包水位1239,0.4759860081747136,0.4759860081747136,0.015299026425591099
末级再热器B出口汽温3_326,0.47589842524885045,0.47589842524885045,0.05006954102920723
屏式再热器横向第16片屏排_1管管壁温度334,0.46714560564169044,0.46714560564169044,0.027816411682892908
屏式再热器横向第14片屏排_1管管壁温度333,0.4578102812726872,0.4578102812726872,0.031988873435326845
末级再热器B出口汽温1_322,0.3811632934692824,0.3811632934692824,0.03616133518776078
一次粉管A22风速35,-0.370584940845372,0.370584940845372,0.02642559109874826
末级再热器B出口汽温2_324,0.36999546390522353,0.36999546390522353,0.03477051460361613
一次粉管A24风速37,-0.35589517753662836,0.35589517753662836,0.02642559109874826
一次粉管B24风速45,0.3469921252174035,0.3469921252174035,0.3560500695410292
一次粉管A21风速34,-0.3440634723149098,0.3440634723149098,0.02642559109874826
一次粉管A23风速36,-0.34397054872117566,0.34397054872117566,0.02642559109874826
屏式再热器横向第12片屏排_1管管壁温度332,0.3362195857495469,0.3362195857495469,0.030598052851182198
屏式再热器横向第19片屏排_1管管壁温度336,0.3362068338061336,0.3362068338061336,0.030598052851182198
汽包水位4_244,0.3348842764770152,0.3348842764770152,0.02364394993045897
B1侧旁路风量153,0.334502000941981,0.334502000941981,0.31710709318497915
屏式再热器横向第23片屏排_1管管壁温度338,-0.3335528504899549,0.3335528504899549,0.02086230876216968
主蒸汽流量累计269,-0.3292562773721176,0.3292562773721176,0.0
主蒸汽流量累计268,-0.32925545289078606,0.32925545289078606,0.0
一次粉管A14风速33,-0.3286692473294622,0.3286692473294622,0.02642559109874826
末级再热器横向第47排的_1管管壁温度_353,0.3275382482501952,0.3275382482501952,0.02364394993045897
一次粉管A13风速32,-0.32255076667633226,0.32255076667633226,0.02642559109874826
一次粉管A11风速30,-0.31971062112736565,0.31971062112736565,0.02642559109874826
一次粉管A12风速31,-0.31763193691311464,0.31763193691311464,0.02642559109874826
末级再热器横向第17排的_1管管壁温度_347,0.3095306946189064,0.3095306946189064,0.037552155771905425
